	sequences per sample	iteration	Amz22chld.418485	Amz25chld.418466	Amz26chld.418481	Amz29adlt.418370	Amz2adltF.418633	Amz30adlt.418837	Amz32eldF.418511	Amz4adltF.418711	Amz4chldM2.418774	Amz5chldF1.418757	Amz5chldF2.418405	Amz5teenF.418519	Amz6chldM.418668	Amz6eldF.418597	Amz6eldM.418356	Amz7eldM.418423	TS1.418828	TS109.418691	TS111.418684	TS127.418550	TS129.418618	TS13.418619	TS163.418636	TS184.418577	TS193.418750	TS195.418848	TS25.418407	TS4.418810	TS7.418860	USchp18Mom.418783	USchp1Mom.418814	USchp25Child.418345	USchp25Mom.418780	USchp33ChildB.418578	USchp36Mom.418718	USchp3Child.418614	USchp3Mom.418727	USchp4Mom.418666	h101M.1.418586	h10M.1.418706	h122M.1.418534	h146M.1.418838	h147M.1.418531	h165M.1.418394	h186M.1.418788	h208M.1.418731	h235M.1.418489	h257M.1.418454	h264M.1.418377	h273M.1.418507	h279M.1.418530	h305M.1.418771	h37M.1.418863	h60M.1.418694	h68M.1.418773	h78M.1.418725	h85M.1.418596	h95M.1.418831	h9M.1.418588	k278A.2.418424
alpha_rarefaction_59_0.txt	59	0	170.5	252.0	309.75	250.0	210.5	124.75	219.2	181.25	200.5	184.6	249.0	242.0	157.625	139.5	93.6	135.666666667	210.5	147.428571429	116.363636364	249.0	231.25	136.5	178.2	186.6	320.333333333	178.2	110.0	77.8571428571	152.857142857	90.2	101.0	87.25	86.25	92.0	170.5	146.75	96.8	94.0	375.0	151.857142857	65.25	320.333333333	133.0	154.2	278.6	435.0	134.875	176.2	163.166666667	253.0	80.875	125.111111111	104.0	200.5	105.5	173.0	170.5	138.2	241.0	99.125
alpha_rarefaction_59_1.txt	59	1	129.25	250.0	322.25	201.0	145.6	147.428571429	116.428571429	212.0	111.5	153.2	228.6	258.0	175.75	118.2	231.25	278.6	151.5	133.0	522.0	148.0	175.75	184.666666667	123.75	117.5	107.666666667	150.0	134.875	135.5	152.857142857	90.2	118.375	81.875	118.428571429	86.0	150.0	111.857142857	200.5	96.0	385.0	140.142857143	128.5	140.625	85.5	210.5	224.5	263.25	149.0	140.142857143	278.333333333	118.375	476.5	170.5	123.666666667	128.0	129.0	80.0	178.0	135.5	305.0	114.125
alpha_rarefaction_59_2.txt	59	2	231.25	151.5	140.625	395.0	101.0	224.5	165.142857143	89.3333333333	113.857142857	177.2	224.5	221.2	200.5	123.142857143	200.5	140.625	184.666666667	309.75	186.142857143	248.0	141.142857143	182.25	104.5	124.75	75.1666666667	93.0	784.0	202.0	252.0	174.0	99.125	119.375	90.3333333333	66.625	239.2	112.5	338.5	104.666666667	242.0	154.2	101.0	304.0	189.75	163.166666667	239.2	172.0	335.0	177.2	151.5	159.428571429	65.0	129.0	170.0	169.0	209.5	132.0	141.142857143	292.0	123.142857143	91.75
alpha_rarefaction_59_3.txt	59	3	112.5	221.2	220.2	139.142857143	200.5	82.5454545455	203.0	185.6	152.857142857	119.2	166.142857143	155.0	147.428571429	83.4285714286	134.875	263.25	179.0	135.5	224.5	152.857142857	522.0	150.0	135.5	135.5	185.6	178.2	113.857142857	122.666666667	186.6	164.0	93.0	135.0	95.375	77.8571428571	194.2	127.0	349.0	88.75	217.0	379.0	139.2	231.25	278.333333333	251.0	141.142857143	292.0	230.25	318.5	200.5	445.0	102.0	119.375	186.6	231.25	132.5	135.0	143.166666667	104.0	86.25	129.25
alpha_rarefaction_59_4.txt	59	4	157.625	129.25	297.5	333.0	172.0	224.5	332.0	338.5	156.0	292.0	220.2	202.0	184.666666667	107.428571429	157.625	108.428571429	105.5	119.375	224.5	249.0	286.5	224.5	211.0	169.0	118.375	212.0	157.625	132.0	163.166666667	51.4285714286	117.428571429	118.375	90.75	111.5	152.857142857	140.142857143	254.0	78.8571428571	171.0	169.0	118.2	170.0	112.125	119.375	310.0	143.166666667	229.6	92.0	186.142857143	177.0	69.5	157.625	186.6	319.333333333	98.1111111111	154.25	239.2	249.0	136.5	104.0
alpha_rarefaction_59_5.txt	59	5	224.5	273.75	200.5	202.0	287.0	616.0	127.0	184.666666667	117.428571429	133.875	159.428571429	149.0	428.0	163.0	157.625	142.166666667	130.0	169.5	249.0	155.0	250.0	67.0833333333	134.0	114.125	170.0	230.25	100.125	434.0	184.666666667	49.0	241.0	83.4285714286	221.2	67.0	117.428571429	161.0	306.0	180.25	219.75	219.75	107.2	242.0	135.5	130.0	140.625	364.333333333	134.5	86.25	179.0	252.0	122.142857143	102.666666667	101.0	182.25	241.0	100.1	147.428571429	94.375	93.6666666667	78.625
alpha_rarefaction_59_6.txt	59	6	113.6	124.142857143	221.2	176.2	172.0	134.875	308.75	203.0	249.0	149.0	170.5	267.0	184.666666667	174.0	163.166666667	207.666666667	297.5	165.142857143	322.25	334.0	186.142857143	499.5	203.0	104.0	162.0	263.25	159.428571429	88.1428571429	241.0	100.0	89.3333333333	93.0	154.2	172.333333333	360.25	169.0	287.0	170.333333333	194.0	200.5	129.5	178.0	129.0	152.857142857	104.272727273	178.2	155.0	90.75	172.0	151.333333333	148.0	148.6	121.2	114.125	107.333333333	192.5	152.857142857	163.166666667	162.0	118.3
alpha_rarefaction_59_7.txt	59	7	140.625	113.6	207.428571429	178.2	138.2	159.428571429	394.0	106.428571429	136.5	210.5	252.0	133.875	184.666666667	118.5	170.5	265.0	207.666666667	278.333333333	157.625	297.5	175.75	132.0	216.0	338.5	173.0	194.2	123.142857143	163.0	364.333333333	86.0	136.5	91.1666666667	154.25	161.0	306.0	182.25	334.0	94.0	435.0	123.142857143	93.25	262.25	123.75	199.5	200.5	212.0	192.5	154.2	200.5	159.428571429	252.0	194.2	178.0	264.0	118.428571429	142.166666667	224.5	163.0	161.0	159.428571429
alpha_rarefaction_59_8.txt	59	8	321.25	364.333333333	159.428571429	219.2	214.0	170.5	717.0	395.0	567.5	194.2	112.857142857	170.0	364.333333333	155.0	124.75	192.5	380.0	194.2	186.142857143	166.142857143	285.5	334.0	380.0	220.2	154.2	135.0	239.2	134.875	242.0	71.1428571429	130.5	101.0	129.0	101.0	200.5	194.2	123.666666667	90.75	143.166666667	178.2	414.5	169.5	162.0	110.857142857	134.875	279.333333333	194.2	117.5	184.666666667	320.333333333	82.4285714286	152.857142857	140.625	210.5	339.5	153.2	185.6	155.0	993.0	156.0
alpha_rarefaction_59_9.txt	59	9	263.25	322.25	207.666666667	133.5	181.25	157.625	193.2	128.0	241.333333333	265.0	395.0	139.625	350.0	171.0	156.0	87.25	170.5	190.75	258.0	228.6	194.2	178.2	220.2	210.5	141.142857143	498.5	143.166666667	76.625	230.25	48.0	82.875	186.6	140.2	133.0	285.5	240.333333333	113.125	105.2	95.375	231.25	146.75	220.2	170.0	79.0	242.0	242.0	177.0	117.5	263.25	186.6	139.2	100.125	97.0	263.25	86.25	136.5	141.142857143	100.0	178.2	108.428571429
alpha_rarefaction_108_0.txt	108	0	200.214285714	200.214285714	191.545454545	263.111111111	187.5	319.363636364	238.3	243.111111111	230.0	239.25	274.0	167.8125	334.111111111	279.625	331.0	180.363636364	393.625	187.5	290.153846154	269.090909091	435.5	366.0	335.428571429	155.5	219.090909091	379.0	258.625	320.0	405.428571429	214.666666667	147.1	178.8	179.25	356.0	292.083333333	168.545454545	237.0	119.0	324.666666667	292.5	238.0	278.6	163.0	325.666666667	291.090909091	274.3	194.461538462	241.111111111	232.6	232.545454545	305.5	281.333333333	172.083333333	326.666666667	270.5	189.333333333	218.0625	248.142857143	144.214285714	196.142857143
