	sequences per sample	iteration	Amz22chld.418485	Amz25chld.418466	Amz26chld.418481	Amz29adlt.418370	Amz2adltF.418633	Amz30adlt.418837	Amz32eldF.418511	Amz4adltF.418711	Amz4chldM2.418774	Amz5chldF1.418757	Amz5chldF2.418405	Amz5teenF.418519	Amz6chldM.418668	Amz6eldF.418597	Amz6eldM.418356	Amz7eldM.418423	TS1.418828	TS109.418691	TS111.418684	TS127.418550	TS129.418618	TS13.418619	TS163.418636	TS184.418577	TS193.418750	TS195.418848	TS25.418407	TS4.418810	TS7.418860	USchp18Mom.418783	USchp1Mom.418814	USchp25Child.418345	USchp25Mom.418780	USchp33ChildB.418578	USchp36Mom.418718	USchp3Child.418614	USchp3Mom.418727	USchp4Mom.418666	h101M.1.418586	h10M.1.418706	h122M.1.418534	h146M.1.418838	h147M.1.418531	h165M.1.418394	h186M.1.418788	h208M.1.418731	h235M.1.418489	h257M.1.418454	h264M.1.418377	h273M.1.418507	h279M.1.418530	h305M.1.418771	h37M.1.418863	h60M.1.418694	h68M.1.418773	h78M.1.418725	h85M.1.418596	h95M.1.418831	h9M.1.418588	k278A.2.418424
alpha_rarefaction_59_0.txt	59	0	6.81538	7.16191	7.86929	6.26886	6.86439	7.95766	8.58092	8.5004	6.08677	6.34128	7.387	7.16095	7.4597	5.31472	7.83754	7.12099	7.21356	6.12373	7.22662	7.74087	6.89818	6.89826	6.8108	5.75864	6.82355	7.11516	7.42481	5.76609	6.43759	5.51037	6.06466	6.61695	6.2651	5.71362	7.56721	5.82994	7.64973	5.49541	6.89945	6.98041	4.3792	7.22091	6.44247	6.10929	7.44893	6.84387	8.72913	4.88782	8.35237	7.05978	6.14697	9.12184	7.95062	7.10188	7.02014	6.64992	7.34298	6.74199	7.20807	6.53604
alpha_rarefaction_59_1.txt	59	1	6.91352	7.91681	8.33044	7.30421	6.73358	7.96146	6.22388	8.09827	6.34979	5.91417	7.21096	7.84576	8.44132	6.36504	9.37461	8.22143	7.41102	5.51352	8.92903	7.23467	7.85928	6.1453	5.8974	5.46256	6.25242	6.09783	7.42935	5.4657	7.85799	5.68721	6.77348	6.75653	6.20341	4.68305	7.31512	5.32072	6.73145	5.98812	6.8513	6.55528	5.74174	8.12369	7.52755	6.09834	8.23276	7.22323	7.96632	5.79839	7.24263	7.40832	7.57232	9.09719	6.29401	6.22638	6.83591	5.40203	6.91718	7.32017	6.81448	7.23324
alpha_rarefaction_59_2.txt	59	2	6.41564	6.90009	8.21722	7.63048	5.64408	8.67231	7.186	7.6336	6.73975	7.00507	6.9911	8.17154	7.91846	5.93127	9.55894	7.31296	8.23427	6.4629	7.23435	7.83813	6.97364	6.54204	6.32025	5.60939	5.66387	6.86877	6.38846	5.66	6.44056	6.26831	6.37886	6.90401	6.14296	5.0986	7.69556	6.16546	7.29665	5.27279	8.01983	7.74315	6.51738	6.72659	7.4205	7.67004	8.7951	7.00498	8.75591	5.5043	8.03475	7.05093	5.61837	9.43888	7.5734	6.74483	7.14507	6.59047	6.56074	8.23888	6.04021	6.33248
alpha_rarefaction_59_3.txt	59	3	5.78526	7.71444	7.53606	6.9395	7.23674	7.67214	7.49652	8.07376	7.6416	4.77019	7.31603	7.57959	7.71365	5.78226	8.23014	6.28511	7.38945	5.56379	8.38465	7.48528	8.32816	6.01119	6.73735	4.89478	5.91693	6.48308	6.59708	5.10804	7.32218	5.44744	7.83205	6.57803	6.55407	4.75488	8.35498	6.99813	7.97919	4.95893	7.32793	8.59144	6.30893	7.2095	7.02731	6.31294	7.47942	6.43146	8.12733	5.10846	7.40947	9.18876	5.80594	7.77359	7.66437	7.17788	6.25335	7.16678	6.2706	7.4619	5.88077	7.00393
alpha_rarefaction_59_4.txt	59	4	7.73015	6.42034	6.99191	7.43654	5.3745	9.58769	7.05884	7.99486	6.05024	6.17539	7.49793	6.68123	8.09823	5.85986	9.42641	6.01708	8.46786	5.1159	8.18896	9.38139	7.39041	7.54201	5.95844	5.56617	6.40476	6.79799	7.99961	5.76395	7.17502	5.00888	6.90583	6.5734	6.59202	6.58777	7.55136	8.05633	6.52378	4.86282	6.41554	6.96336	6.23216	6.49997	6.87192	6.86069	8.17562	6.89261	7.87752	5.49025	7.76086	8.37521	6.02204	8.89045	7.85832	7.00413	6.49725	5.71544	7.36179	8.52846	5.25873	6.46274
alpha_rarefaction_59_5.txt	59	5	7.96375	6.97963	8.12674	7.39911	5.80045	8.50552	7.29947	7.0854	6.12005	6.21038	6.7549	7.71748	8.02055	6.80473	8.11778	6.41931	7.79481	6.36044	6.26647	6.95969	8.14533	5.696	5.95045	5.54138	5.75678	6.47046	6.88206	5.36924	7.41744	5.13062	7.2331	5.92752	7.17699	5.33018	7.43079	6.12794	7.94659	5.66829	6.70775	7.37556	6.66861	7.86073	8.4373	6.70581	8.28801	7.53312	7.51694	4.59001	7.67392	6.76061	6.45899	9.19813	7.23452	7.05076	6.86665	6.05714	7.58359	6.71674	5.57426	6.55705
alpha_rarefaction_59_6.txt	59	6	7.52641	6.90586	7.87723	6.91582	6.11465	8.88895	7.59832	9.89562	7.19197	6.30804	7.79622	7.42227	7.88451	6.33931	8.55416	7.39283	7.55142	6.60055	7.30578	9.28064	8.07693	7.01028	6.17399	5.12454	6.11959	6.28762	7.14485	5.53002	6.49954	4.77749	6.78523	5.67265	6.13908	6.43436	7.35807	7.00155	6.15959	5.41953	7.28852	6.98911	5.3792	7.21837	7.54334	6.90808	7.80235	6.83787	8.40046	5.35912	7.60135	7.04857	7.32948	9.01956	7.57379	7.32861	7.70828	6.29053	7.39589	7.87183	6.1815	6.55616
alpha_rarefaction_59_7.txt	59	7	8.2501	7.13617	8.86769	7.47729	5.57071	8.41023	8.62542	7.58075	7.12208	5.31891	7.86132	7.76969	7.61454	5.62175	8.98538	6.39204	8.30985	6.53701	6.9271	8.02344	6.72224	5.90186	5.88022	5.35624	6.12686	6.43312	8.1196	5.54664	7.07819	5.8021	6.82888	5.31627	6.32841	6.51419	7.4719	6.39491	8.37494	5.40317	6.56772	7.46909	5.03733	8.16493	7.9204	7.14118	8.03689	7.09868	8.42385	4.56355	7.57311	7.56967	7.81839	9.97464	8.20835	7.33863	5.83104	6.77248	7.66449	7.47946	5.61627	7.62782
alpha_rarefaction_59_8.txt	59	8	7.19358	6.96549	6.98943	7.96084	5.16598	7.54928	8.81933	9.17656	6.60843	7.53739	5.77628	6.95119	7.42726	6.82749	8.75542	8.21541	8.10989	6.0911	7.45317	8.17848	7.17879	6.15844	6.51856	5.90112	6.21142	6.65009	7.58701	6.12479	6.58163	5.40592	6.59012	6.61078	6.8863	5.42641	8.43712	6.98996	6.68218	6.26555	6.82608	7.30157	9.03077	7.45241	7.75735	6.03362	8.60865	6.2688	8.18259	5.22557	8.05202	7.51029	6.04094	8.40078	7.82499	7.40814	6.25785	6.60081	6.03778	6.85823	5.40622	6.79663
alpha_rarefaction_59_9.txt	59	9	7.55279	7.20759	7.99178	6.05557	6.41213	8.40406	8.06036	7.67824	6.59492	6.01144	7.72153	7.23476	7.94744	6.29579	8.22403	6.27622	8.5983	5.99499	7.28697	8.59588	6.91581	7.32135	6.20312	4.73644	5.95802	7.13685	6.48027	4.68391	7.60719	5.62394	6.15546	6.37741	6.43815	4.87226	7.90625	6.74119	7.46775	5.41124	6.67517	7.55601	7.03885	7.64837	6.31007	5.28187	7.04283	7.00242	8.72011	5.41671	7.33044	7.14119	6.48145	8.92982	6.59805	6.84184	6.20725	6.1876	6.83112	6.88447	6.21987	6.8319
