	Amz22chld.418485	Amz25chld.418466	Amz26chld.418481	Amz29adlt.418370	Amz2adltF.418633	Amz30adlt.418837	Amz32eldF.418511	Amz4adltF.418711	Amz4chldM2.418774	Amz5chldF1.418757	Amz5chldF2.418405	Amz5teenF.418519	Amz6chldM.418668	Amz6eldF.418597	Amz6eldM.418356	Amz7eldM.418423	TS1.418828	TS109.418691	TS111.418684	TS127.418550	TS129.418618	TS13.418619	TS163.418636	TS184.418577	TS193.418750	TS195.418848	TS25.418407	TS4.418810	TS7.418860	USchp18Mom.418783	USchp1Mom.418814	USchp25Child.418345	USchp25Mom.418780	USchp33ChildB.418578	USchp36Mom.418718	USchp3Child.418614	USchp3Mom.418727	USchp4Mom.418666	h101M.1.418586	h10M.1.418706	h122M.1.418534	h146M.1.418838	h147M.1.418531	h165M.1.418394	h186M.1.418788	h208M.1.418731	h235M.1.418489	h257M.1.418454	h264M.1.418377	h273M.1.418507	h279M.1.418530	h305M.1.418771	h37M.1.418863	h60M.1.418694	h68M.1.418773	h78M.1.418725	h85M.1.418596	h95M.1.418831	h9M.1.418588	k278A.2.418424
h101M.1.418586	0.41222056	0.28728932	0.36487442	0.33746796	0.3841944	0.38955258	0.36899802	0.45072592	0.28370796	0.29361836	0.39458456	0.28898844	0.25470246	0.24494162	0.29641326	0.31988352	0.44581846	0.39353076	0.42123322	0.4747239	0.40895556	0.47432568	0.39112186	0.40993808	0.48266406	0.38452678	0.43988	0.54745752	0.34976438	0.55158542	0.38544674	0.3412716	0.44355358	0.45341002	0.38645398	0.39371232	0.38927826	0.40169952	0.0	0.23748802	0.25183866	0.17645392	0.33190242	0.26885134	0.22821332	0.21408816	0.22380268	0.33631412	0.30236504	0.25502572	0.22018754	0.38289822	0.23786046	0.2770115	0.30591368	0.32311926	0.2661355	0.18456476	0.31685576	0.40307974
h10M.1.418706	0.29274466	0.19061342	0.25800416	0.33329614	0.4528639	0.29075088	0.34281792	0.42071298	0.26707394	0.32054302	0.27624082	0.3325325	0.19831928	0.24845232	0.28099184	0.2261589	0.342751	0.38211578	0.29869096	0.3669684	0.31153006	0.37647194	0.34818348	0.37257482	0.36656864	0.3304532	0.32037618	0.57898802	0.27714524	0.447098	0.30548492	0.33452146	0.343397	0.4752786	0.31200144	0.41783158	0.41593148	0.34703314	0.23748802	0.0	0.3574188	0.2145265	0.36460556	0.28227316	0.2554595	0.24567122	0.23518086	0.33384826	0.23045386	0.20984246	0.30940204	0.29301572	0.25636124	0.20311252	0.38934386	0.37987256	0.28130056	0.2154743	0.36854926	0.42913756
h122M.1.418534	0.53129982	0.3891695	0.46889468	0.32270394	0.3688287	0.5082942	0.4358064	0.4854885	0.36942334	0.3730483	0.5069789	0.36960194	0.34759964	0.31116588	0.39265364	0.43094914	0.57875332	0.48629526	0.52564388	0.57240216	0.5200157	0.59699562	0.48712312	0.48938806	0.5990756	0.49521132	0.55436802	0.55763494	0.47757516	0.66373952	0.5080424	0.45390338	0.57696268	0.538922	0.51318484	0.49826302	0.48298184	0.4907937	0.25183866	0.3574188	0.0	0.28729874	0.36489276	0.39415512	0.30693662	0.29366066	0.32561302	0.42887102	0.4235177	0.37299594	0.22471992	0.51844464	0.3241506	0.36156112	0.30959166	0.3452936	0.35027088	0.25371114	0.3716811	0.39377916
h146M.1.418838	0.38224808	0.24137228	0.32175074	0.36634096	0.37422264	0.37570058	0.39252554	0.4671992	0.24193656	0.24875588	0.36152688	0.26209636	0.23225262	0.23334502	0.27892962	0.28732444	0.42680906	0.38669912	0.38949134	0.45864506	0.40285796	0.45369952	0.36973258	0.39882268	0.47159618	0.37503042	0.41604084	0.55008712	0.33375778	0.53067582	0.36655994	0.32976324	0.43616206	0.44763446	0.35387154	0.39912268	0.36803382	0.38429968	0.17645392	0.2145265	0.28729874	0.0	0.28306366	0.24374786	0.17747564	0.16917172	0.2337962	0.28971092	0.25884292	0.22173344	0.23984294	0.35761886	0.21010746	0.24761994	0.28981368	0.2980103	0.2270313	0.22694928	0.29968716	0.38282782
h147M.1.418531	0.47965982	0.34908006	0.400352	0.45388798	0.38063214	0.40653504	0.52647484	0.5228989	0.25594614	0.25600186	0.43953554	0.25855046	0.3429692	0.33687148	0.33876828	0.33528574	0.53002872	0.41804462	0.4944844	0.56007048	0.48911158	0.55261818	0.40742356	0.4531451	0.55667664	0.46770648	0.5232099	0.52694958	0.42947392	0.50265304	0.38857004	0.31805838	0.4637314	0.43783124	0.46328944	0.40979146	0.38787596	0.4231775	0.33190242	0.36460556	0.36489276	0.28306366	0.0	0.28483788	0.2368345	0.26189726	0.36113642	0.3109229	0.39300206	0.35205678	0.27239528	0.46184516	0.27589004	0.41196692	0.31398714	0.30175068	0.25563324	0.3417333	0.27179702	0.24951692
h165M.1.418394	0.40698738	0.27948602	0.37937576	0.46248062	0.38470534	0.40463856	0.47016456	0.58548122	0.19289358	0.19581486	0.3724179	0.2273163	0.31629968	0.35733284	0.32303664	0.30477326	0.42772852	0.3089669	0.40134816	0.47999048	0.39323286	0.45114626	0.35366032	0.36897694	0.46258352	0.35875976	0.41108114	0.5083819	0.332246	0.52229564	0.356177	0.2920377	0.4161832	0.37688144	0.350571	0.3733229	0.36345576	0.40490378	0.26885134	0.28227316	0.39415512	0.24374786	0.28483788	0.0	0.23082522	0.22186058	0.3518067	0.1946873	0.3373381	0.25800438	0.29664956	0.38663172	0.26866444	0.34762	0.3195935	0.30666988	0.20740536	0.34014922	0.2689805	0.33609368
h186M.1.418788	0.3849608	0.25649352	0.34191962	0.39372896	0.36575308	0.36991218	0.41270474	0.49112632	0.2011026	0.22330636	0.36332392	0.22203764	0.25087486	0.2677191	0.26987002	0.287565	0.43902794	0.34576688	0.40160254	0.45617446	0.40792856	0.46044704	0.35670278	0.3715374	0.48427238	0.37289778	0.43667296	0.5040196	0.34434538	0.5281681	0.37247482	0.30422532	0.44551906	0.40580118	0.3711273	0.3672002	0.33942662	0.38215872	0.22821332	0.2554595	0.30693662	0.17747564	0.2368345	0.23082522	0.0	0.1660708	0.27981176	0.26267324	0.28153716	0.2355738	0.2453461	0.36826382	0.20716214	0.2982567	0.27601768	0.2927857	0.18072122	0.25808892	0.26611932	0.3375985
h208M.1.418731	0.37668204	0.2377626	0.33413826	0.39260944	0.34898412	0.36514434	0.40792782	0.49303376	0.20460184	0.214558	0.36008828	0.23132708	0.24041362	0.25237166	0.2904461	0.28490304	0.4420887	0.34947896	0.3929229	0.44594262	0.38897672	0.453847	0.33796618	0.3471234	0.4644033	0.35567798	0.4239436	0.49929176	0.33117474	0.52041386	0.3553361	0.303748	0.43298994	0.4172293	0.35911958	0.35947896	0.35575146	0.36790984	0.21408816	0.24567122	0.29366066	0.16917172	0.26189726	0.22186058	0.1660708	0.0	0.29617036	0.24377816	0.28086532	0.22859188	0.24589438	0.38771202	0.20413238	0.2846975	0.27156864	0.2819093	0.1817757	0.25949	0.25818272	0.34229662
h235M.1.418489	0.40272528	0.28463272	0.32960026	0.32517896	0.45657896	0.3790885	0.37087234	0.42955468	0.34731272	0.36354032	0.37596064	0.37261912	0.26882274	0.27268634	0.28965794	0.31584288	0.4364197	0.44910352	0.4003745	0.45409522	0.40929248	0.46115596	0.43273702	0.46120376	0.47622394	0.42567334	0.41401672	0.59788316	0.36757658	0.53311762	0.38917794	0.3892912	0.4447481	0.50723762	0.39910902	0.44129876	0.42844934	0.42351204	0.22380268	0.23518086	0.32561302	0.2337962	0.36113642	0.3518067	0.27981176	0.29617036	0.0	0.39610016	0.2579192	0.22996544	0.29636206	0.33031754	0.2726857	0.25442962	0.39325876	0.38070718	0.34047726	0.174527	0.38340536	0.46533358
h257M.1.418454	0.4254574	0.31863388	0.40792526	0.49617828	0.35700204	0.44756798	0.51947054	0.6124226	0.22160428	0.1767048	0.38928748	0.20859484	0.34761434	0.38357938	0.36945994	0.31743692	0.46465386	0.28400496	0.41252674	0.48798578	0.39634696	0.43652568	0.3529839	0.35138652	0.46645282	0.37634542	0.44423984	0.4573342	0.34315018	0.51305414	0.3769925	0.2845336	0.42763934	0.32956162	0.37284086	0.3738852	0.37689682	0.3931524	0.33631412	0.33384826	0.42887102	0.28971092	0.3109229	0.1946873	0.26267324	0.24377816	0.39610016	0.0	0.38738476	0.28999592	0.33593958	0.44691314	0.31280442	0.37782706	0.29469444	0.24800582	0.24314758	0.3828956	0.26600672	0.31465362
